2025-11-15 08:43:56,753 | INFO | _cached_single_lookup | params={'accord_code': 208763, 'field': 'quarterly_revenue', 'date': '2022-03-31'} | time_ms=0.01 | FAIL | Database not found: "/Users/vanshikabakshi/Desktop/ITUS Project/revenue.db"
2025-11-15 08:43:56,753 | INFO | get_quarterly_data | params={'accord_code': 208763, 'field': 'quarterly_revenue', 'date': '2022-03-31'} | time_ms=0.65 | FAIL | Database not found: "/Users/vanshikabakshi/Desktop/ITUS Project/revenue.db"
2025-11-15 08:45:42,374 | INFO | _cached_single_lookup | params={'accord_code': 208763, 'field': 'quarterly_revenue', 'date': '2022-03-31'} | time_ms=0.01 | FAIL | Database not found: "/Users/vanshikabakshi/Desktop/ITUS Project/revenue.db"
2025-11-15 08:45:42,374 | INFO | get_quarterly_data | params={'accord_code': 208763, 'field': 'quarterly_revenue', 'date': '2022-03-31'} | time_ms=0.60 | FAIL | Database not found: "/Users/vanshikabakshi/Desktop/ITUS Project/revenue.db"
2025-11-15 08:49:10,570 | INFO | _cached_single_lookup | params={'accord_code': 208763, 'field': 'quarterly_revenue', 'date': '2022-03-31'} | time_ms=0.01 | FAIL | Database not found: "/Users/vanshikabakshi/Desktop/ITUS Project/revenue.db"
2025-11-15 08:49:10,571 | INFO | get_quarterly_data | params={'accord_code': 208763, 'field': 'quarterly_revenue', 'date': '2022-03-31'} | time_ms=0.72 | FAIL | Database not found: "/Users/vanshikabakshi/Desktop/ITUS Project/revenue.db"
2025-11-15 08:59:54,534 | INFO | _cached_single_lookup | params={'accord_code': 208763, 'field': 'quarterly_revenue', 'date': '2022-03-31'} | time_ms=0.01 | FAIL | Database not found: "/Users/vanshikabakshi/Desktop/ITUS Project/revenue.db"
2025-11-15 08:59:54,534 | INFO | get_quarterly_data | params={'accord_code': 208763, 'field': 'quarterly_revenue', 'date': '2022-03-31'} | time_ms=0.52 | FAIL | Database not found: "/Users/vanshikabakshi/Desktop/ITUS Project/revenue.db"
2025-11-15 09:09:55,264 | INFO | _cached_single_lookup | params={'accord_code': 208763, 'field': 'quarterly_revenue', 'date': '2022-03-31'} | time_ms=5.61 | FAIL | No data
2025-11-15 09:09:55,264 | INFO | get_quarterly_data | params={'accord_code': 208763, 'field': 'quarterly_revenue', 'date': '2022-03-31'} | time_ms=6.14 | SUCCESS | 
2025-11-15 09:29:04,791 | INFO | _cached_single_lookup | params={'accord_code': 208763, 'field': 'quarterly_revenue', 'date': '2022-03-31'} | time_ms=10.59 | FAIL | No data
2025-11-15 09:29:04,792 | INFO | get_quarterly_data | params={'accord_code': 208763, 'field': 'quarterly_revenue', 'date': '2022-03-31'} | time_ms=11.26 | SUCCESS | 
